G	P1F	P1B	P2F	P2B	CF	CB
1	10.0	31.25	10.0	31.25	10.0	31.25
1	10.0	31.25	10.0	31.25	10.0	31.25
1	10.0	31.25	10.0	31.25	10.0	31.25
1	10.0	31.25	10.0	31.25	10.0	31.25
1	10.0	31.25	11.0	34.375	10.0	31.25
1	10.0	31.25	11.0	34.375	13.0	40.625
1	10.0	31.25	8.0	25.0	10.0	31.25
1	10.0	31.25	8.0	25.0	12.0	37.5
1	8.0	25.0	10.0	31.25	16.0	50.0
1	8.0	25.0	10.0	31.25	22.0	68.75
1	10.0	31.25	10.0	31.25	10.0	31.25
1	10.0	31.25	10.0	31.25	22.0	68.75
1	8.0	25.0	10.0	31.25	8.0	25.0
1	8.0	25.0	10.0	31.25	8.0	25.0
1	8.0	25.0	10.0	31.25	10.0	31.25
1	8.0	25.0	10.0	31.25	8.0	25.0
1	8.0	25.0	10.0	31.25	10.0	31.25
1	8.0	25.0	10.0	31.25	10.0	31.25
1	10.0	31.25	10.0	31.25	10.0	31.25
1	10.0	31.25	10.0	31.25	14.0	43.75
1	10.0	31.25	8.0	25.0	10.0	31.25
1	10.0	31.25	8.0	25.0	10.0	31.25
1	8.0	25.0	8.0	25.0	7.0	21.875
1	8.0	25.0	8.0	25.0	8.0	25.0
1	10.0	31.25	10.0	31.25	10.0	31.25
1	10.0	31.25	10.0	31.25	10.0	31.25
1	8.0	25.0	10.0	31.25	10.0	31.25
1	8.0	25.0	10.0	31.25	11.0	34.375
1	10.0	31.25	8.0	25.0	10.0	31.25
1	10.0	31.25	8.0	25.0	8.0	25.0
1	10.0	31.25	8.0	25.0	10.0	31.25
1	10.0	31.25	8.0	25.0	8.0	25.0
1	10.0	31.25	10.0	31.25	10.0	31.25
1	10.0	31.25	10.0	31.25	10.0	31.25
1	8.0	25.0	9.0	28.125	22.0	68.75
1	8.0	25.0	9.0	28.125	11.0	34.375
1	10.0	31.25	8.0	25.0	8.0	25.0
1	10.0	31.25	8.0	25.0	12.0	37.5
1	10.0	31.25	9.0	28.125	8.0	25.0
1	10.0	31.25	9.0	28.125	8.0	25.0
1	10.0	31.25	10.0	31.25	10.0	31.25
1	10.0	31.25	10.0	31.25	12.0	37.5
1	10.0	31.25	10.0	31.25	10.0	31.25
1	10.0	31.25	10.0	31.25	10.0	31.25
1	10.0	31.25	10.0	31.25	10.0	31.25
1	10.0	31.25	10.0	31.25	10.0	31.25
1	10.0	31.25	8.0	25.0	12.0	37.5
1	10.0	31.25	8.0	25.0	10.0	31.25
1	8.0	25.0	10.0	31.25	12.0	37.5
1	8.0	25.0	10.0	31.25	10.0	31.25
1	8.0	25.0	10.0	31.25	10.0	31.25
1	8.0	25.0	10.0	31.25	8.0	25.0
1	10.0	31.25	8.0	25.0	10.0	31.25
1	10.0	31.25	8.0	25.0	10.0	31.25
1	8.0	25.0	8.0	25.0	10.0	31.25
1	8.0	25.0	8.0	25.0	10.0	31.25
1	10.0	31.25	8.0	25.0	10.0	31.25
1	10.0	31.25	8.0	25.0	10.0	31.25
1	8.0	25.0	10.0	31.25	8.0	25.0
1	8.0	25.0	10.0	31.25	14.0	43.75
1	10.0	31.25	10.0	31.25	10.0	31.25
1	10.0	31.25	10.0	31.25	10.0	31.25
1	10.0	31.25	8.0	25.0	12.0	37.5
1	10.0	31.25	8.0	25.0	10.0	31.25
1	10.0	31.25	10.0	31.25	10.0	31.25
1	10.0	31.25	10.0	31.25	10.0	31.25
1	8.0	25.0	10.0	31.25	10.0	31.25
1	8.0	25.0	10.0	31.25	10.0	31.25
1	8.0	25.0	10.0	31.25	16.0	50.0
1	8.0	25.0	10.0	31.25	10.0	31.25
1	8.0	25.0	8.0	25.0	10.0	31.25
1	8.0	25.0	8.0	25.0	9.0	28.125
1	10.0	31.25	8.0	25.0	10.0	31.25
1	10.0	31.25	8.0	25.0	10.0	31.25
1	10.0	31.25	10.0	31.25	16.0	50.0
1	10.0	31.25	10.0	31.25	9.0	28.125
1	8.0	25.0	9.0	28.125	12.0	37.5
1	8.0	25.0	9.0	28.125	8.0	25.0
1	8.0	25.0	10.0	31.25	14.0	43.75
1	8.0	25.0	10.0	31.25	8.0	25.0
1	8.0	25.0	10.0	31.25	10.0	31.25
1	8.0	25.0	10.0	31.25	8.0	25.0
1	8.0	25.0	10.0	31.25	10.0	31.25
1	8.0	25.0	10.0	31.25	8.0	25.0
1	10.0	31.25	8.0	25.0	10.0	31.25
1	10.0	31.25	8.0	25.0	10.0	31.25
1	10.0	31.25	10.0	31.25	10.0	31.25
1	10.0	31.25	10.0	31.25	10.0	31.25
1	10.0	31.25	10.0	31.25	10.0	31.25
1	10.0	31.25	10.0	31.25	10.0	31.25
1	8.0	25.0	8.0	25.0	6.0	18.75
1	8.0	25.0	8.0	25.0	10.0	31.25
1	10.0	31.25	10.0	31.25	10.0	31.25
1	10.0	31.25	10.0	31.25	10.0	31.25
1	8.0	25.0	10.0	31.25	10.0	31.25
1	8.0	25.0	10.0	31.25	10.0	31.25
1	10.0	31.25	10.0	31.25	10.0	31.25
1	10.0	31.25	10.0	31.25	10.0	31.25
1	10.0	31.25	10.0	31.25	10.0	31.25
1	10.0	31.25	10.0	31.25	8.0	25.0
1	10.0	31.25	10.0	31.25	10.0	31.25
1	10.0	31.25	10.0	31.25	10.0	31.25
1	8.0	25.0	8.0	25.0	10.0	31.25
1	8.0	25.0	8.0	25.0	10.0	31.25
1	10.0	31.25	10.0	31.25	10.0	31.25
1	10.0	31.25	10.0	31.25	10.0	31.25
1	8.0	25.0	10.0	31.25	16.0	50.0
1	8.0	25.0	10.0	31.25	10.0	31.25
1	15.0	46.875	10.0	31.25	13.0	40.625
1	15.0	46.875	10.0	31.25	22.0	68.75
1	15.0	46.875	10.0	31.25	16.0	50.0
1	15.0	46.875	10.0	31.25	12.0	37.5
1	10.0	31.25	10.0	31.25	10.0	31.25
1	10.0	31.25	10.0	31.25	10.0	31.25
1	10.0	31.25	10.0	31.25	10.0	31.25
1	10.0	31.25	10.0	31.25	10.0	31.25
1	10.0	31.25	8.0	25.0	8.0	25.0
1	10.0	31.25	8.0	25.0	10.0	31.25
1	10.0	31.25	10.0	31.25	10.0	31.25
1	10.0	31.25	10.0	31.25	10.0	31.25
1	10.0	31.25	8.0	25.0	10.0	31.25
1	10.0	31.25	8.0	25.0	10.0	31.25
1	9.0	28.125	10.0	31.25	10.0	31.25
1	9.0	28.125	10.0	31.25	20.0	62.5
1	10.0	31.25	8.0	25.0	18.0	56.25
1	10.0	31.25	8.0	25.0	6.0	18.75
1	10.0	31.25	10.0	31.25	10.0	31.25
1	10.0	31.25	10.0	31.25	10.0	31.25
1	10.0	31.25	10.0	31.25	10.0	31.25
1	10.0	31.25	10.0	31.25	10.0	31.25
1	8.0	25.0	8.0	25.0	7.0	21.875
1	8.0	25.0	8.0	25.0	8.0	25.0
1	10.0	31.25	10.0	31.25	10.0	31.25
1	10.0	31.25	10.0	31.25	22.0	68.75
1	10.0	31.25	10.0	31.25	10.0	31.25
1	10.0	31.25	10.0	31.25	10.0	31.25
1	8.0	25.0	8.0	25.0	10.0	31.25
1	8.0	25.0	8.0	25.0	16.0	50.0
1	8.0	25.0	8.0	25.0	12.0	37.5
1	8.0	25.0	8.0	25.0	8.0	25.0
1	8.0	25.0	10.0	31.25	10.0	31.25
1	8.0	25.0	10.0	31.25	22.0	68.75
1	8.0	25.0	10.0	31.25	10.0	31.25
1	8.0	25.0	10.0	31.25	8.0	25.0
1	10.0	31.25	8.0	25.0	9.0	28.125
1	10.0	31.25	8.0	25.0	10.0	31.25
1	11.0	34.375	10.0	31.25	10.0	31.25
1	11.0	34.375	10.0	31.25	18.0	56.25
1	10.0	31.25	11.0	34.375	10.0	31.25
1	10.0	31.25	11.0	34.375	16.0	50.0
1	10.0	31.25	10.0	31.25	10.0	31.25
1	10.0	31.25	10.0	31.25	8.0	25.0
1	10.0	31.25	10.0	31.25	10.0	31.25
1	10.0	31.25	10.0	31.25	10.0	31.25
